"ImageFile","Points:0","Points:1","Points:2"
13,364.01,226.39,2.1764
13,357,227.3,1.9766
13,363.14,226.94,1.9464
13,364.18,227.2,1.6613
13,365.01,227.06,1.8136
13,356.12,228.12,2.0194
13,364.03,228.01,1.5611
13,368.01,228.01,1.7915
13,370.04,228.03,2.1661
13,357.03,229.06,1.6051
13,370.01,229,1.6375
13,372.13,229.01,2.0396
13,373.26,229.24,1.9882
13,377.17,229.33,2.1252
13,378.01,231.01,1.5765
13,378.96,231.04,1.7014
13,379.58,231.04,1.967
13,377.96,231.98,1.526
13,379.74,231.87,2.131
13,378.72,232.8,1.6154
13,379.4,232.92,2.0148
13,356.07,234.26,2.0312
13,357.02,234.05,1.6464
13,376.92,233.93,1.5444
13,356.22,235.13,2.3002
13,357.15,235.01,1.9833
13,358.03,234.9,1.6522
13,366.97,234.91,1.5992
13,371,234.94,1.5475
13,377.62,234.67,1.8654
13,358.16,235.45,2.0529
13,358.98,235.55,1.9736
13,360.87,235.54,2.1019
13,362.95,235.55,1.9726
13,366.84,235.57,1.8556
13,367.89,235.55,2.1014
13,370.97,235.49,1.9375
13,372,236,1.5
13,373,236,1.5
13,376,236,1.5
13,377,236,1.5
13,373,237,1.5
13,374,237,1.5
13,375,237,1.5
13,376,237,1.5
13,374,238,1.5
13,375,238,1.5
13,353.65,226.57,3.5731
13,354.21,226.39,3.361
13,354.96,226.16,3.4315
13,360,226.04,3.0536
13,363.06,226,3.0498
13,353.52,227.34,3.4376
13,354.12,227.07,3.1065
13,355.86,226.9,2.8022
13,371.16,227.46,3.4684
13,353,228,3
13,354.06,227.98,2.9943
13,355,227.71,2.8067
13,353,229,3
13,354,229,3
13,373.73,228.73,3.0642
13,377.91,229.05,3.2894
13,353,230,3
13,354,230,3
13,353,231,3
13,354,231,3
13,354,232,3
13,380.38,231.95,3.4582
13,354.54,233.22,3.3167
13,355.06,232.77,2.6544
13,379.86,232.91,3.1253
13,354.68,233.97,3.2583
13,355.29,234.81,3.1123
13,377.1,235.3,2.837
13,355.47,235.84,3.5865
13,357.04,235.8,2.9106
13,358.01,235.53,2.9488
13,359.95,235.85,3.0769
13,370.82,235.34,2.8374
13,372.81,235.69,2.7546
13,373.88,236.22,3.122
13,375.11,236.28,2.8185
13,376.16,235.7,3.1387
13,356.08,236.86,3.7782
13,364.85,235.94,3.1931
13,356.93,220.01,4.8721
13,357.62,219.82,5.2386
13,356.17,221.21,4.6176
13,355.02,222.25,4.9147
13,357.76,221.73,4.943
13,356,223.06,4.5807
13,357.99,222.89,4.8453
13,354.98,224.28,4.7975
13,357,224.01,4.4224
13,357.99,224,4.4919
13,358.82,224.11,4.9138
13,354.96,225.29,4.3445
13,355.96,225.06,4.1251
13,358,225.01,4.026
13,358.98,225.04,4.1102
